Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand,Model
Mumbai,171,Petrol,Manual,First,24.7,796.0,47.3,5.0,3.6,3,Maruti,Alto800
Kolkata,2100,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.6,4,Maruti,AltoK10
Coimbatore,20667,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,7.55,4,Hyundai,Grandi10
Kolkata,50000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,4.7,7,Honda,MobilioS
Jaipur,100030,Diesel,Manual,Second,18.8,1248.0,90.0,5.0,1.6,12,Tata,ManzaAqua
Pune,75372,Diesel,Manual,First,16.52,1991.0,123.7,5.0,3.34,11,Chevrolet,OptraMagnum
Kochi,60475,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.1,6,Honda,Cityi
Kochi,18453,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.17,3,Hyundai,Grandi10
Hyderabad,96578,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.5,14,Hyundai,VernaCRDi
Kolkata,31001,Petrol,Manual,First,18.44,1198.0,75.0,5.0,3.0,6,Nissan,MicraXL
Jaipur,65900,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.75,10,Hyundai,Verna1.6
Bangalore,26246,Petrol,Manual,First,15.29,1591.0,121.3,5.0,10.75,5,Hyundai,Creta1.6
Jaipur,62700,Petrol,Manual,Second,20.51,998.0,67.04,5.0,2.85,9,Maruti,WagonR
Chennai,90000,Petrol,Automatic,First,10.2,2354.0,180.0,5.0,6.5,14,Honda,Accord2.4
Bangalore,36000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,9.45,6,Honda,City1.5
Delhi,46000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.75,6,Maruti,BalenoAlpha
Coimbatore,73003,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.75,5,Honda,Cityi
Kochi,46566,Diesel,Manual,First,22.54,1396.0,88.76,5.0,4.4,8,Hyundai,i20Era
Jaipur,41493,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,42.0,7,Mercedes-Benz,E-Class2015-2017
Kochi,103788,Diesel,Manual,First,19.01,1461.0,108.5,5.0,5.67,8,Nissan,TerranoXV
Bangalore,45000,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.5,6,Renault,Duster110PS
Pune,120000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.69,13,Maruti,WagonR
Jaipur,97359,Diesel,Manual,Second,17.1,1493.0,110.0,5.0,1.8,13,Hyundai,Getz1.5
Mumbai,62000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.2,6,Maruti,RitzLXi
Pune,115000,Petrol,Manual,Second,18.236512961941532,1497.0,118.0,5.0,1.5,18,Honda,City1.5
Kochi,18373,Diesel,Automatic,First,22.48,1995.0,187.74,5.0,45.86,3,BMW,5Series
Hyderabad,60453,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.1,6,Volkswagen,Polo1.2
Pune,37000,Diesel,Manual,First,17.8,1248.0,74.0,5.0,4.85,9,Maruti,SwiftVDI
Mumbai,69009,Petrol,Manual,Second,15.6,1196.0,70.0,5.0,2.4,12,Ford,FigoPetrol
Hyderabad,30000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,22.0,9,BMW,3Series
Delhi,70707,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.28,10,Hyundai,Verna1.6
Coimbatore,64677,Diesel,Manual,First,20.45,1461.0,83.8,5.0,5.67,7,Renault,Duster85PS
Bangalore,3000,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.2,4,Hyundai,Grandi10
Bangalore,49000,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,14.49,9,BMW,X1sDrive20d
Pune,71000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.0,12,Maruti,RitzVDi
Jaipur,52000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.25,12,Hyundai,i10Era
Kochi,35659,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,43.78,6,BMW,X52014-2019
Kochi,5377,Petrol,Manual,First,16.8,1497.0,116.3,5.0,11.45,3,Honda,CityV
Delhi,65000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.5,8,Mahindra,SsangyongRexton
Coimbatore,92708,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.48,7,Ford,Ecosport1.5
Coimbatore,48105,Petrol,Manual,First,19.7,796.0,46.3,5.0,3.1,12,Maruti,AltoLXi
Mumbai,46759,Petrol,Manual,First,16.47,1198.0,74.0,5.0,2.55,11,Volkswagen,Polo1.2
Jaipur,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,9,Volkswagen,PoloDiesel
Kolkata,35175,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.59,10,Volkswagen,PoloDiesel
Kolkata,70000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.45,9,Maruti,ErtigaZDI
Kolkata,30000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.0,5,Ford,EcoSport1.5
Kolkata,66618,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,15.49,6,Toyota,InnovaCrysta
Mumbai,69300,Petrol,Automatic,Second,10.8,2497.0,150.0,5.0,12.5,12,BMW,5Series
Kolkata,148000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.75,5,Maruti,SwiftDzire
Mumbai,22000,Petrol,Manual,First,18.88,999.0,123.24,5.0,7.85,5,Ford,Ecosport1.0
Ahmedabad,75000,Diesel,Manual,First,16.8,1493.0,110.0,5.0,6.0,9,Hyundai,VernaCRDi
Mumbai,43706,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.0,6,Tata,ZestRevotron
Mumbai,42000,Diesel,Automatic,First,14.4,2967.0,241.4,5.0,28.75,11,Audi,A72011-2015
Pune,65000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.5,10,Tata,IndicaVista
Delhi,76128,Diesel,Manual,First,26.59,1248.0,74.0,5.0,5.5,7,Maruti,SwiftDzire
Kolkata,39852,Petrol,Manual,First,16.0,1368.0,90.0,5.0,1.59,12,Fiat,LineaEmotion
Mumbai,18673,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.22,5,Hyundai,i201.2
Kolkata,11583,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.75,6,Hyundai,EONEra
Chennai,82000,Petrol,Manual,Second,18.236512961941532,1086.0,62.1,5.0,1.35,15,Hyundai,SantroXing
Pune,50000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,25.0,5,Mercedes-Benz,GLAClass
Delhi,77000,Petrol,Manual,First,23.1,998.0,67.04,5.0,2.8,8,Maruti,CelerioVXI
Mumbai,54890,Petrol,Manual,Second,17.8,1199.0,76.8,5.0,2.45,8,Chevrolet,BeatLT
Pune,21000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.35,6,Honda,Jazz1.2
Mumbai,58557,Diesel,Automatic,Third,16.07,1995.0,181.0,5.0,8.0,13,BMW,3Series
Bangalore,70000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,8.25,8,Renault,Duster110PS
Mumbai,16000,Petrol,Automatic,First,17.01,1499.0,110.4,5.0,5.95,5,Ford,Figo2015-2019
Kochi,8899,Diesel,Manual,First,13.68,2393.0,147.8,7.0,19.92,4,Toyota,InnovaCrysta
Kochi,83629,Diesel,Manual,First,25.44,936.0,56.3,5.0,3.15,6,Chevrolet,BeatDiesel
Chennai,35059,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,5.75,8,Volkswagen,PoloGTI
Kochi,30552,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,32.44,4,Ford,Endeavour3.2
Kochi,44875,Diesel,Automatic,Second,22.32,1582.0,126.32,5.0,8.01,6,Hyundai,Verna1.6
Coimbatore,25095,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.48,5,Ford,Figo2015-2019
Jaipur,59000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.75,15,Maruti,800AC
Kolkata,36000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,5.0,8,Honda,Cityi
Mumbai,37000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,7.75,10,Mahindra,XUV500W8
Chennai,90000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,12,Ford,FigoDiesel
Pune,17000,Petrol,Manual,First,17.0,1497.0,121.36,5.0,9.2,4,Ford,EcoSport1.5
Mumbai,42575,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.05,7,Hyundai,i20Asta
Hyderabad,131000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,9.6,10,Toyota,Innova2.5
Mumbai,74000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.5,9,Renault,Duster85PS
Mumbai,47234,Diesel,Manual,First,12.99,2494.0,100.6,8.0,9.35,9,Toyota,Innova2.5
Delhi,231673,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.6,13,Honda,City1.5
Hyderabad,10000,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.5,6,Maruti,AltoK10
Kochi,49389,Petrol,Manual,First,19.49,1198.0,67.04,5.0,4.26,6,Nissan,MicraActive
Chennai,12000,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,4.25,6,Maruti,CelerioVXI
Hyderabad,65000,Petrol,Manual,Second,11.7,1796.0,178.0,5.0,11.75,12,Mercedes-Benz,NewC-Class
Chennai,177000,Diesel,Manual,First,23.5,1498.0,88.7,5.0,3.5,9,Ford,FiestaDiesel
Jaipur,89000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,7.5,7,Hyundai,Verna1.6
Chennai,72000,Petrol,Automatic,Third,15.0,1396.0,100.0,5.0,3.25,13,Hyundai,i201.4
Chennai,49000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.9,10,Maruti,SwiftDzire
Hyderabad,51355,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,27.0,8,Mercedes-Benz,NewC-Class
Kochi,13460,Petrol,Manual,First,18.6,1197.0,81.86,5.0,8.91,5,Hyundai,Elitei20
Kochi,35642,Petrol,Automatic,First,17.01,1591.0,121.4,5.0,6.69,8,Hyundai,Verna1.6
Kochi,52895,Diesel,Manual,First,17.3,1998.0,163.7,5.0,6.02,8,Chevrolet,CruzeLTZ
Mumbai,93000,Petrol,Manual,First,14.28,1798.0,138.03,5.0,4.5,12,Toyota,CorollaAltis
Pune,70000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.0,11,Maruti,A-StarVxi
Kolkata,32048,Diesel,Manual,First,23.08,1461.0,63.1,5.0,2.4,10,Nissan,MicraDiesel
Pune,4700,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.2,9,Tata,NanoLX
Delhi,71800,Diesel,Manual,First,23.4,1248.0,74.0,5.0,2.9,8,Maruti,SwiftDzire
Coimbatore,69078,Petrol,Manual,First,18.236512961941532,2179.0,187.7,5.0,40.88,14,Land Rover,RoverRange
Ahmedabad,45000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,27.0,6,Audi,Q32.0
Chennai,15388,Diesel,Manual,First,25.8,1498.0,98.6,5.0,7.5,6,Honda,AmazeVX
Mumbai,98798,Petrol,Manual,First,14.7,1599.0,104.0,5.0,1.5,18,Chevrolet,Optra1.6
Hyderabad,43000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,39.5,6,Audi,Q52.0
Hyderabad,85112,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.39,10,Maruti,RitzVDi
Kochi,37804,Diesel,Manual,First,15.4,2179.0,120.0,7.0,12.4,4,Mahindra,ScorpioS6
Chennai,45000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,6.85,8,Maruti,CiazZDi
Pune,116000,Diesel,Manual,Second,21.43,1364.0,138.0,5.0,5.75,11,Toyota,CorollaAltis
Chennai,100073,Diesel,Manual,Second,25.0,1396.0,69.0,5.0,2.0,7,Tata,IndicaV2
Jaipur,165000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.9,16,Maruti,800Std
Kolkata,22000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,3.8,7,Volkswagen,Polo1.2
Delhi,9500,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,16.35,5,Hyundai,Elantra2.0
Hyderabad,152000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,16.5,10,Toyota,Fortuner4x2
Coimbatore,17705,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.7,3,Maruti,BalenoZeta
Mumbai,12000,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6.1,6,Maruti,BalenoZeta
Hyderabad,51000,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,21.94,9,Mini,CooperCountryman
Chennai,42000,Diesel,Automatic,Second,13.0,2987.0,210.0,5.0,22.0,13,Mercedes-Benz,SClass
Delhi,51000,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.65,7,Maruti,AltoK10
Kochi,42527,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.27,5,Maruti,SwiftVXI
Kolkata,45000,Diesel,Manual,First,22.1,1248.0,74.0,5.0,2.48,8,Chevrolet,SailLT
Kolkata,70000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,6.0,11,Toyota,Innova2.5
Mumbai,92000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,8.9,13,Toyota,Fortuner3.0
Hyderabad,57156,Diesel,Automatic,Second,18.88,1995.0,184.0,5.0,18.0,10,BMW,3Series
Coimbatore,53211,Petrol,Manual,First,16.8,1395.0,138.02,5.0,11.64,6,Skoda,OctaviaAmbition
Kolkata,80000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,8.99,3,Toyota,Fortuner3.0
Bangalore,74000,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,5.25,13,Volkswagen,Jetta2007-2011
Kolkata,37000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,2.95,11,Hyundai,i201.4
Mumbai,64000,Diesel,Manual,Second,21.02,1248.0,88.76,5.0,2.65,9,Tata,ManzaClub
Pune,57197,Petrol,Manual,First,15.04,1598.0,103.6,5.0,4.0,9,Volkswagen,VentoPetrol
Chennai,55000,Diesel,Automatic,First,17.6,1582.0,126.2,5.0,12.5,6,Hyundai,Creta1.6
Mumbai,33000,Petrol,Manual,First,21.1,1197.0,85.8,5.0,3.25,8,Maruti,RitzVXI
Delhi,70000,Petrol,Manual,First,13.1,1997.0,141.1,5.0,4.0,14,Honda,CR-V2.0L
Delhi,75000,Diesel,Manual,Second,15.1,2179.0,140.0,7.0,6.25,10,Mahindra,XUV500W8
Jaipur,58095,Diesel,Manual,First,21.66,1498.0,108.62,5.0,5.8,6,Volkswagen,Ameo1.5
Kolkata,7445,Petrol,Manual,First,17.57,1193.0,88.7,5.0,5.0,7,Tata,ZestRevotron
Kochi,17652,Diesel,Automatic,First,12.9,2993.0,270.88,5.0,58.73,6,Jaguar,XJ3.0L
Kochi,28321,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,17.49,4,Toyota,CorollaAltis
Pune,69000,Petrol,Manual,Second,19.0,998.0,66.1,5.0,1.95,11,Maruti,A-StarVxi
Mumbai,80000,Petrol,Automatic,First,11.1,2354.0,142.0,5.0,3.0,15,Honda,AccordVTi-L
Delhi,42365,Petrol,Manual,First,17.0,1197.0,80.0,5.0,5.5,8,Hyundai,i20Asta
Delhi,123000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,16.5,9,Toyota,Fortuner4x2
Mumbai,40000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,14.5,11,Mercedes-Benz,NewC-Class
Hyderabad,30112,Diesel,Manual,First,27.39,1248.0,74.0,5.0,7.79,6,Maruti,BalenoAlpha
Kochi,43775,Diesel,Manual,First,20.77,1248.0,88.76,7.0,8.27,5,Maruti,ErtigaVDI
Kochi,26013,Diesel,Automatic,First,12.65,2993.0,255.0,5.0,97.07,3,Land Rover,RoverRange
Mumbai,56000,Petrol,Manual,First,12.9,1598.0,102.5,5.0,2.15,10,Chevrolet,OptraMagnum
Hyderabad,95000,Petrol,Automatic,Second,12.9,1799.0,130.0,5.0,3.0,14,Honda,Civic2006-2010
Coimbatore,41089,Diesel,Automatic,First,16.09,1995.0,184.0,5.0,28.79,8,BMW,X3xDrive20d
Mumbai,41988,Diesel,Automatic,First,20.0,1968.0,138.1,5.0,5.45,11,Skoda,LauraAmbition
Delhi,72486,Diesel,Manual,First,23.4,1248.0,74.0,5.0,3.95,9,Maruti,SwiftDzire
Pune,92000,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,16.0,9,Volvo,V40Cross
Delhi,40000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.25,9,Maruti,SwiftDzire
Bangalore,56000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,34.5,8,Land Rover,RoverRange
Mumbai,125000,Petrol,Automatic,Third,11.7,2354.0,177.6,5.0,2.6,14,Honda,Accord2.4
Kochi,29219,Diesel,Manual,First,12.99,2494.0,100.6,8.0,13.48,5,Toyota,Innova2.5
Hyderabad,39927,Diesel,Manual,First,12.55,2982.0,168.5,7.0,32.1,4,Toyota,Fortuner4x4
Kochi,38593,Petrol,Manual,First,18.7,1199.0,88.7,5.0,6.17,4,Honda,Jazz1.2
Kolkata,32000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.5,7,Honda,City1.5
Hyderabad,28226,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,9.15,5,Maruti,DzireAMT
Pune,95000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,4.5,8,Nissan,Sunny2011-2014
Chennai,194000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,10.5,8,Toyota,Innova2.5
Coimbatore,14821,Petrol,Manual,First,19.4,1198.0,86.8,5.0,5.37,6,Honda,BrioS
Bangalore,52000,Petrol,Manual,First,15.04,1598.0,103.6,5.0,5.45,10,Volkswagen,VentoPetrol
Mumbai,33000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,9.25,6,Mahindra,XUV500W4
Chennai,29200,Diesel,Manual,First,23.0,1498.0,98.96,5.0,7.7,6,Ford,EcoSport1.5
Hyderabad,99754,Diesel,Manual,First,17.72,1968.0,108.49,5.0,7.99,10,Skoda,YetiAmbition
Chennai,49000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.0,10,Hyundai,i10Sportz
Hyderabad,299322,Diesel,Manual,First,12.8,2494.0,102.0,8.0,4.0,17,Toyota,Innova2.5
Coimbatore,38310,Diesel,Manual,First,20.65,1248.0,88.7,5.0,6.69,4,Tata,ZestQuadrajet
Delhi,56000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,8,Maruti,SwiftVDI
Kolkata,31300,Diesel,Automatic,First,21.72,1498.0,108.4,5.0,10.5,5,Skoda,Rapid1.5
Coimbatore,11241,Diesel,Manual,First,13.68,2393.0,147.8,8.0,22.55,3,Toyota,InnovaCrysta
Pune,48000,Petrol,Manual,Second,17.01,1591.0,121.3,5.0,5.2,8,Hyundai,Verna1.6
Coimbatore,23882,Petrol,Manual,First,17.4,1497.0,117.3,5.0,11.87,3,Honda,Cityi
Hyderabad,65000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,6.99,8,Honda,Cityi
Jaipur,50000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.0,11,Volkswagen,VentoDiesel
Chennai,25000,Diesel,Automatic,First,12.19,2967.0,236.0,5.0,44.0,8,Audi,Q52008-2012
Chennai,21000,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.79,7,Maruti,Alto800
Pune,148000,Diesel,Manual,Second,21.12,1248.0,88.8,5.0,2.9,10,Tata,ManzaELAN
Delhi,68000,Petrol,Manual,First,15.29,1591.0,121.3,5.0,9.85,6,Hyundai,Creta1.6
Bangalore,52000,Diesel,Automatic,First,12.0,2987.0,224.0,7.0,49.0,8,Mercedes-Benz,GL-Class2007
Jaipur,19000,Diesel,Manual,First,16.55,2498.0,105.0,6.0,9.25,6,Mahindra,TharCRDe
Mumbai,74000,Diesel,Manual,Second,22.32,1582.0,126.3,5.0,3.75,11,Hyundai,Verna1.6
Coimbatore,30279,Diesel,Manual,First,26.1,1498.0,99.0,5.0,7.29,5,Ford,AspireTitanium
Mumbai,20000,Diesel,Automatic,First,20.7,1496.0,113.98,4.0,23.5,6,Mini,Cooper3
Hyderabad,34834,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.6,9,Maruti,Omni8
Pune,90000,Diesel,Manual,Second,21.03,1461.0,65.0,5.0,3.1,7,Mahindra,Verito1.5
Coimbatore,38730,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,29.98,6,Mercedes-Benz,E-Class2009-2013
Kochi,57390,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.73,6,Renault,Duster110PS
Kolkata,100000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,3.5,6,Maruti,SwiftDzire
Kolkata,50000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,2.35,11,Volkswagen,PoloPetrol
Coimbatore,64961,Diesel,Manual,First,16.0,2179.0,140.0,7.0,16.13,5,Mahindra,XUV500W10
Coimbatore,72465,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.9,8,Volkswagen,Polo1.2
Hyderabad,68776,Petrol,Manual,First,21.1,1197.0,85.8,5.0,3.9,10,Maruti,RitzVXI
Pune,150000,Petrol,Manual,First,14.7,1598.0,104.0,5.0,1.5,17,Chevrolet,Optra1.6
Delhi,68000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,6.95,10,Toyota,Innova2.5
Delhi,33000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.0,7,Honda,Cityi
Coimbatore,22389,Petrol,Manual,First,17.0,1198.0,73.75,5.0,7.23,5,Volkswagen,Ameo1.2
Mumbai,90000,Diesel,Manual,First,21.5,1248.0,88.8,5.0,3.81,10,Maruti,SX4ZDI
Chennai,42000,Petrol,Manual,Third,18.6,1197.0,85.8,5.0,4.5,10,Maruti,SwiftZXI
Pune,38767,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.6,5,Hyundai,Creta1.6
Bangalore,21000,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,48.0,7,Audi,Q735
Coimbatore,59136,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.96,12,Maruti,AltoLXi
Kolkata,36000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25,8,Honda,AmazeSX
Chennai,95000,Diesel,Automatic,Second,18.33,1968.0,167.7,5.0,8.5,11,Volkswagen,PassatDiesel
Mumbai,51000,Diesel,Automatic,First,19.5,1582.0,126.24,5.0,8.75,9,Hyundai,ElantraCRDi
Kochi,36411,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.08,11,Maruti,WagonR
Mumbai,40000,Diesel,Automatic,First,12.81,1999.0,148.31,7.0,41.5,5,Land Rover,RoverDiscovery
Pune,27300,Petrol,Manual,First,17.8,1497.0,117.3,5.0,7.0,6,Honda,Cityi
Kochi,29813,Petrol,Automatic,Second,14.74,1991.0,181.03,5.0,11.5,11,Mercedes-Benz,NewC-Class
Pune,71000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.6,11,Maruti,WagonR
Kolkata,32000,Diesel,Manual,First,22.32,1582.0,126.3,5.0,4.3,8,Hyundai,Verna1.6
Mumbai,19234,CNG,Manual,First,24.5,1373.0,80.46,7.0,8.35,5,Maruti,ErtigaVXI
Jaipur,50510,Diesel,Automatic,First,17.06,1968.0,141.0,5.0,24.9,5,Volkswagen,Tiguan2.0
Pune,102000,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,13.75,11,BMW,X1sDrive
Kolkata,42277,Diesel,Manual,First,24.0,1186.0,73.97,5.0,3.85,8,Hyundai,Grandi10
Mumbai,46000,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,23.25,8,Mercedes-Benz,E-ClassE250
Chennai,35000,Diesel,Manual,First,13.6,2523.0,62.1,7.0,7.0,10,Mahindra,BoleroZLX
Bangalore,50000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,7,Hyundai,Grandi10
Mumbai,62000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,1.65,14,Hyundai,i10Magna
Mumbai,78000,Diesel,Manual,First,19.33,1968.0,138.1,5.0,6.5,10,Volkswagen,Jetta2012-2014
Chennai,79000,Diesel,Manual,First,17.67,1968.0,138.08,5.0,7.5,11,Skoda,YetiElegance
Kochi,6773,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,72.94,3,Audi,Q745
Chennai,135000,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,11.0,12,Toyota,Fortuner3.0
Kochi,36716,Petrol,Manual,First,18.9,1061.0,67.0,5.0,3.02,9,Maruti,WagonR
Coimbatore,65060,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.32,9,Hyundai,EONEra
Delhi,33000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.24,9,Honda,BrioS
Kolkata,11110,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.35,7,Maruti,Alto800
Jaipur,63000,Diesel,Manual,First,15.96,2523.0,62.1,7.0,5.5,9,Mahindra,BoleroZLX
Mumbai,27030,Petrol,Manual,First,17.8,1497.0,117.3,5.0,6.75,7,Honda,Cityi
Mumbai,19600,Petrol,Manual,First,15.0,1598.0,103.52,5.0,6.15,7,Skoda,Rapid1.6
Pune,27755,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.45,6,Maruti,SwiftVVT
Hyderabad,20000,Petrol,Manual,Second,21.1,814.0,55.2,5.0,2.3,9,Hyundai,EONMagna
Kochi,24782,Petrol,Manual,First,20.85,1197.0,83.14,5.0,6.21,7,Maruti,SwiftDzire
Coimbatore,47303,Petrol,Automatic,First,19.34,1198.0,76.0,5.0,5.21,8,Nissan,MicraXV
Delhi,71000,Petrol,Automatic,First,8.3,4134.0,250.0,7.0,11.99,14,Audi,Q74.2
Pune,135000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.1,12,Maruti,SwiftVdi
Jaipur,1000,Diesel,Manual,First,13.49,2179.0,138.03,5.0,7.5,5,Tata,XenonXT
Kolkata,29000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,4.0,6,Volkswagen,Polo1.5
Kochi,36367,Petrol,Manual,First,17.8,1497.0,117.3,5.0,7.73,6,Honda,Cityi
Bangalore,38000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,7.8,7,Honda,Cityi
Hyderabad,83969,Petrol,Manual,First,16.1,796.0,37.0,4.0,1.3,11,Maruti,800AC
Jaipur,82621,Diesel,Manual,First,20.14,1498.0,88.8,5.0,4.42,8,Volkswagen,Polo1.5
Pune,89000,Diesel,Automatic,First,12.5,1991.0,147.9,7.0,4.0,13,Chevrolet,CaptivaLTZ
Kolkata,54000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,13.0,6,Mahindra,XUV500W10
Kochi,61691,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.38,7,Honda,AmazeVX
Chennai,32200,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3.25,11,Hyundai,i201.2
Jaipur,68630,Petrol,Automatic,First,20.51,998.0,67.0,5.0,3.87,6,Maruti,WagonR
Mumbai,61000,Diesel,Automatic,Second,16.96,1968.0,138.03,5.0,8.25,8,Volkswagen,Jetta2013-2015
Mumbai,32644,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.28,4,Maruti,Ciaz1.4
Delhi,85000,Diesel,Automatic,First,11.79,2179.0,120.0,7.0,6.25,10,Mahindra,Scorpio2009-2014
